icd_code,icd_chapter
7818,(R00-R99)
78791,(R00-R99)
78945,(R00-R99)
7946,(R00-R99)
7993,(R00-R99)
80020,(S00-T88)
80030,(S00-T88)
80063,(S00-T88)
80069,(S00-T88)
80151,(S00-T88)
80303,(S00-T88)
80376,(S00-T88)
80382,(S00-T88)
80420,(S00-T88)
80623,(S00-T88)
80717,(S00-T88)
81100,(S00-T88)
81303,(S00-T88)
81305,(S00-T88)
81317,(S00-T88)
81330,(S00-T88)
81409,(S00-T88)
8190,(S00-T88)
83813,(S00-T88)
83905,(S00-T88)
8401,(S00-T88)
85241,(S00-T88)
85315,(S00-T88)
86352,(S00-T88)
86510,(S00-T88)
8709,(S00-T88)
8972,(S00-T88)
90219,(S00-T88)
90233,(S00-T88)
90254,(S00-T88)
9029,(S00-T88)
9043,(S00-T88)
90451,(S00-T88)
9046,(S00-T88)
9047,(S00-T88)
9065,(S00-T88)
9126,(S00-T88)
9137,(S00-T88)
9149,(S00-T88)
9251,(S00-T88)
9288,(S00-T88)
9350,(S00-T88)
94120,(S00-T88)
94127,(S00-T88)
94204,(S00-T88)
94410,(S00-T88)
94413,(S00-T88)
94435,(S00-T88)
94437,(S00-T88)
94444,(S00-T88)
94552,(S00-T88)
94831,(S00-T88)
95217,(S00-T88)
95914,(S00-T88)
9596,(S00-T88)
96561,(S00-T88)
9663,(S00-T88)
96901,(S00-T88)
96970,(S00-T88)
9750,(S00-T88)
9780,(S00-T88)
9882,(S00-T88)
98982,(S00-T88)
99529,(S00-T88)
99934,(S00-T88)
99983,(S00-T88)
99989,(S00-T88)
E0009,(V00-Y99)
E0111,(V00-Y99)
E0152,(V00-Y99)
E8114,(V00-Y99)
E8160,(V00-Y99)
E8165,(V00-Y99)
E8200,(V00-Y99)
E8238,(V00-Y99)
E8312,(V00-Y99)
E8321,(V00-Y99)
E8373,(V00-Y99)
E8432,(V00-Y99)
E8442,(V00-Y99)
E8903,(V00-Y99)
E9011,(V00-Y99)
E9196,(V00-Y99)
E9374,(V00-Y99)
E9389,(V00-Y99)
E9588,(V00-Y99)
E9650,(V00-Y99)
E9674,(V00-Y99)
V0253,(Z00-Z99)
V0254,(Z00-Z99)
V050,(Z00-Z99)
V066,(Z00-Z99)
V072,(Z00-Z99)
V0731,(Z00-Z99)
V1003,(Z00-Z99)
V1090,(Z00-Z99)
V131,(Z00-Z99)
V1789,(Z00-Z99)
